Nível;Indicador;2015;2016;2017;2018;Unidade
1;Geral;;;;;
1.1;População;;;;;
1.1.1;Total;;;;207853;pessoas
1.1.2;Brancos;;;;89663;pessoas
1.1.3;Pretos ou pardos;;;;115965;pessoas
1.2;Distribuição da população;;;;;
1.2.1;Brancos;;;;43.1;%
1.2.2;Pretos ou pardos;;;;55.8;%
2;Trabalho;;;;;
2.1;Taxa de participação;;;;;
2.1.1;Total;;;;62.0;%
2.1.2;Brancos;;;;62.8;%
2.1.3;Pretos ou pardos;;;;61.4;%
2.2;Nível de ocupação;;;;;
2.2.1;Total;;;;54.6;%
2.2.2;Brancos;;;;56.8;%
2.2.3;Pretos ou pardos;;;;52.7;%
2.3;Taxa de desocupação;;;;;
2.3.1;Total;;;;12.0;%
2.3.2;Brancos;;;;9.5;%
2.3.3;Pretos ou pardos;;;;14.1;%
2.4;Taxa composta de subutilização;;;;;
2.4.1;Total;;;;24.6;%
2.4.2;Brancos;;;;18.8;%
2.4.3;Pretos ou pardos;;;;29.0;%
2.5;Taxa de desocupação;;;;;
2.5.1;Pessoas de 14 anos ou mais de idade;;;;;
2.5.1.1;Total;;;;12.0;%
2.5.1.2;Brancos;;;;9.5;%
2.5.1.3;Pretos ou pardos;;;;14.1;%
2.6;Taxa composta de subutilização;;;;;
2.6.1;Pessoas de 14 anos ou mais de idade;;;;;
2.6.1.1;Total;;;;24.6;%
2.6.1.2;Brancos;;;;18.8;%
2.6.1.3;Pretos ou pardos;;;;29.0;%
2.7;Pessoas de 14 anos ou mais de idade;;;;;
2.7.1;Ocupadas na semana de referência;;;;;
2.7.1.1;Ocupações informais;;;;;
2.7.1.1.1;Total;;;;41.5;%
2.7.1.1.2;Brancos;;;;34.6;%
2.7.1.1.3;Pretos ou pardos;;;;47.3;%
2.8;Rendimento médio real habitual do trabalho principal;;;;;
2.8.1;Pessoas de 14 anos ou mais de idade;;;;;
2.8.1.1;Ocupadas na semana de referência;;;;;
2.8.1.1.1;Ocupações formais e informais;;;;;
2.8.1.1.1.1;Total;;;;2163;R$
2.8.1.1.1.2;Brancos;;;;2796;R$
2.8.1.1.1.3;Pretos ou pardos;;;;1608;R$
2.8.1.1.2;Ocupações formais;;;;;
2.8.1.1.2.1;Total;;;;2708;R$
2.8.1.1.2.2;Brancos;;;;3282;R$
2.8.1.1.2.3;Pretos ou pardos;;;;2082;R$
2.8.1.1.3;Ocupações informais;;;;;
2.8.1.1.3.1;Total;;;;1345;R$
2.8.1.1.3.2;Brancos;;;;1814;R$
2.8.1.1.3.3;Pretos ou pardos;;;;1050;R$
2.9;Rendimento habitual do trabalho principal;;;;;
2.9.1;Pessoas de 14 anos ou mais de idade;;;;;
2.9.1.1;Ocupadas;;;;;
2.9.1.1.1;Total;;;;2163;R$
2.9.1.1.2;Brancos;;;;2796;R$
2.9.1.1.3;Pretos ou pardos;;;;1608;R$
2.10;Rendimento-hora médio real habitual do trabalho principal;;;;;
2.10.1;Pessoas de 14 anos ou mais de idade;;;;;
2.10.1.1;Ocupadas na semana de referência;;;;;
2.10.1.1.1;Total;;;;13.3;R$
2.10.1.1.2;Brancos;;;;17.0;R$
2.10.1.1.3;Pretos ou pardos;;;;10.1;R$
2.11;Pessoas ocupadas;;;;;
2.11.1;Brancos;;;;45.2;%
2.11.2;Pretos ou pardos;;;;53.7;%
2.12;Participação de pessoas ocupadas;;;;;
2.12.1;Em cargos gerenciais;;;;;
2.12.1.1;Brancos;;;;68.6;%
2.12.1.2;Pretos ou pardos;;;;29.9;%
3;Renda e Moradia;;;;;
3.1;Distribuição da população;;;;;
3.1.1;Classes de percentual de pessoas em ordem crescente de rendimento mensal real domiciliar per capita;;;;;
3.1.1.1;Entre os 10% com menores rendimentos;;;;;
3.1.1.1.1;Brancos;;;;23.7;%
3.1.1.1.2;Pretos ou pardos;;;;75.2;%
3.1.1.2;Entre os 10% com maiores rendimentos;;;;;
3.1.1.2.1;Brancos;;;;70.6;%
3.1.1.2.2;Pretos ou pardos;;;;27.7;%
3.2;Proporção de pessoas;;;;;
3.2.1;Classes de rendimento mensal real domiciliar per capita selecionadas;;;;;
3.2.1.1;Até US$ 1,9 PPC 2011;;;;;
3.2.1.1.1;Total;;;;6.5;%
3.2.1.1.2;Brancos;;;;3.6;%
3.2.1.1.3;Pretos ou pardos;;;;8.8;%
3.2.1.2;Até US$ 3,2 PPC 2011;;;;;
3.2.1.2.1;Total;;;;12.4;%
3.2.1.2.2;Brancos;;;;6.8;%
3.2.1.2.3;Pretos ou pardos;;;;16.7;%
3.2.1.3;Até US$ 5,5 PPC 2011 ;;;;;
3.2.1.3.1;Total;;;;25.3;%
3.2.1.3.2;Brancos;;;;15.4;%
3.2.1.3.3;Pretos ou pardos;;;;32.9;%
3.3;Rendimento mensal efetivo domiciliar per capita médio;;;;;
3.3.1;Pessoas residentes em arranjos domiciliares;;;;;
3.3.1.1;Total;;;;1337;R$
3.3.1.2;Brancos;;;;1846;R$
3.3.1.3;Pretos ou pardos;;;;934;R$
3.4;Pessoas residentes em domicílios com ocorrência de inadequações nas condições de moradia;;;;;
3.4.1;Tipo de inadequação;;;;;
3.4.1.1;Ausência de coleta direta ou indireta de lixo;;;;;
3.4.1.1.1;Total;;;;9.7;%
3.4.1.1.2;Brancos;;;;6.0;%
3.4.1.1.3;Pretos ou pardos;;;;12.5;%
3.4.1.2;Ausência de abastecimento de água por rede geral;;;;;
3.4.1.2.1;Total;;;;15.1;%
3.4.1.2.2;Brancos;;;;11.5;%
3.4.1.2.3;Pretos ou pardos;;;;17.9;%
3.4.1.3;Ausência de esgotamento Sanitário por rede coletora ou pluvial;;;;;
3.4.1.3.1;Total;;;;35.7;%
3.4.1.3.2;Brancos;;;;26.5;%
3.4.1.3.3;Pretos ou pardos;;;;42.8;%
3.4.1.4;Ao menos uma deficiência;;;;;
3.4.1.4.1;Total;;;;37.2;%
3.4.1.4.2;Brancos;;;;27.9;%
3.4.1.4.3;Pretos ou pardos;;;;44.5;%
3.5;Pessoas residentes em domicílios com ocorrência de outras inadequações nas condições de moradia;;;;;
3.5.1;Tipo de inadequação;;;;;
3.5.1.1;Ônus excessivo com aluguel;;;;;
3.5.1.1.1;Total;;;;4.8;%
3.5.1.1.2;Brancos;;;;4.6;%
3.5.1.1.3;Pretos ou pardos;;;;5.0;%
3.5.1.2;Adensamento excessivo;;;;;
3.5.1.2.1;Total;;;;5.6;%
3.5.1.2.2;Brancos;;;;3.6;%
3.5.1.2.3;Pretos ou pardos;;;;7.0;%
3.5.1.3;Não possui máquina de lavar;;;;;
3.5.1.3.1;Total;;;;34.4;%
3.5.1.3.2;Brancos;;;;21.0;%
3.5.1.3.3;Pretos ou pardos;;;;44.8;%
3.6;Pessoas de 10 anos ou mais de idade;;;;;
3.6.1;Com posse de telefone celular móvel de uso pessoal;;;;;
3.6.1.1;Brancos;;;;84.1;%
3.6.1.2;Pretos ou pardos;;;;75.6;%
3.6.2;Com acesso à internet;;;;;
3.6.2.1;Brancos;;;75.5;;%
3.6.2.2;Pretos ou pardos;;;65.4;;%
3.7;Pessoas de 15 a 29 anos de idade ;;;;;
3.7.1;Sem posse de telefone celular móvel pessoal;;;;;
3.7.1.1;Brancos;;;10.3;;%
3.7.1.2;Pretos ou pardos;;;19.6;;%
3.7.2;Acessou internet por algum meio;;;;;
3.7.2.1;Brancos;;;92.5;;%
3.7.2.2;Pretos ou pardos;;;84.3;;%
4;Educação;;;;;
4.1;Taxa de analfabetismo;;;;;
4.1.1;Pessoas de 15 anos ou mais de idade;;;;;
4.1.1.1;Total;;;;6.8;%
4.1.1.2;Brancos;;;;3.9;%
4.1.1.3;Pretos ou pardos;;;;9.1;%
4.2;Nível de ensino;;;;;
4.2.1;Pessoas de 25 anos ou mais de idade;;;;;
4.2.1.1;Sem instrução;;;;;
4.2.1.1.1;Total;;;;6.9;%
4.2.1.1.2;Brancos;;;;4.3;%
